證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6449","鈺邦","2221248","120888714","54.00","55.60","52.60","54.90","1.5000","1423"
"6451","訊芯-KY","7588822","889221524","110.50","120.00","109.50","117.50","8.0000","4870"
"6456","GIS-KY","2778892","307815144","110.50","112.00","110.00","110.00","0.5000","1856"
"6464","台數科","45100","5028750","112.00","112.50","111.00","111.50","0.0000","42"
"6477","安集","32206323","1925909861","57.10","61.70","56.20","58.10","1.1000","17750"
"6491","晶碩","432093","109580910","258.00","258.50","251.00","253.00","-4.0000","406"
"6504","南六","1936621","388688060","199.50","206.50","194.00","206.00","2.0000","1544"
"6505","台塑化","6725209","620387182","92.20","92.70","91.80","92.50","0.3000","3362"
"6525","捷敏-KY","102802","5932757","58.00","58.00","57.50","57.60","-0.3000","95"
"6531","愛普","4450524","1636156131","370.00","377.00","358.00","358.00","-13.5000","3926"
"6533","晶心科","10587759","2099580152","188.00","206.00","187.50","199.50","11.5000","8309"
"6541","泰福-KY","872828","36178106","40.10","42.60","40.00","42.25","2.5500","539"
"6552","易華電","1155137","56740967","46.70","50.60","46.70","49.25","2.8000","1029"
"6558","興能高","1104643","57148856","51.80","52.50","51.00","51.80","0.6000","770"
"6573","虹揚-KY","78049","1158930","15.05","15.05","14.65","14.85","0.0000","59"
"6579","研揚","13100","902230","68.70","69.10","68.30","69.10","-0.2000","14"
"6581","鋼聯","31049","2184712","70.40","70.60","70.20","70.30","-0.3000","32"
"6582","申豐","3573512","611365013","170.00","177.00","167.00","167.00","-7.5000","2619"
"6591","動力-KY","457056","25716110","57.10","57.20","55.70","55.90","-0.7000","314"
"6592","和潤企業","2070234","166137378","81.10","81.20","79.90","80.20","-0.4000","583"
"6598","ABC-KY","515175","39274731","78.90","78.90","75.40","75.60","-2.6000","439"
"6605","帝寶","227520","11518202","51.00","51.10","50.20","50.60","-0.3000","176"
"6625","必應","79579","2837879","35.00","36.10","35.00","35.50","0.8000","74"
"6641","基士德-KY","12150","768654","63.60","63.60","63.10","63.30","-0.3000","12"
"6655","科定","16025","865552","54.00","54.30","53.40","54.30","0.3000","15"
"6666","羅麗芬-KY","53128","5581732","103.50","107.00","103.00","106.50","3.0000","50"
"6668","中揚光","127000","6562500","51.90","52.70","51.00","51.10","-0.5000","107"
"6669","緯穎","2204877","1531307096","698.00","707.00","687.00","689.00","1.0000","2224"
"6670","復盛應用","280470","49575205","176.50","178.00","174.50","178.00","3.0000","270"
"6671","三能-KY","62000","2445200","39.45","39.45","39.35","39.35","0.0500","34"
"6672","騰輝電子-KY","295150","21045315","71.50","72.20","70.80","70.80","-0.6000","223"
"6674","鋐寶科技","59000","1722550","28.85","30.25","28.35","30.25","1.8000","47"
"6698","旭暉應材","46000","1852600","40.20","40.50","40.10","40.10","-0.3500","36"
"6706","惠特","3129906","490965886","158.00","161.50","153.50","156.00","1.0000","2427"
"6715","嘉基","167090","20941385","125.50","126.00","124.50","126.00","2.5000","145"
"6754","匯僑設計","114000","4753050","42.65","42.65","41.60","41.65","0.2500","59"
"8011","台通","10666659","199527710","19.00","19.20","18.25","18.30","-0.7000","4650"
"8016","矽創","756184","103231189","138.00","138.50","135.00","136.00","-1.0000","631"
"8021","尖點","6042201","157369031","26.15","26.50","25.85","25.95","-0.7000","3054"
"8028","昇陽半導體","917105","45233978","49.55","50.40","48.80","48.90","-0.4000","700"
"8033","雷虎","336464","3703153","11.00","11.10","10.90","11.10","0.1000","181"
"8039","台虹","1857440","104084397","56.30","56.70","55.70","55.90","-0.5000","1181"
